;Setname;Set;Main;Second
2893;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Musik;dnb-appr:wv:reiheH:sg780;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Musik
2894;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Freizeitgestaltung, Darstellende Kunst;dnb-appr:wv:reiheH:sg790;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Freizeitgestaltung, Darstellende Kunst
2895;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - ôffentliche Darbietungen, Film, Rundfunk;dnb-appr:wv:reiheH:sg791;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;ôffentliche Darbietungen, Film, Rundfunk
2896;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Theater, Tanz;dnb-appr:wv:reiheH:sg792;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Theater, Tanz
2897;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Spiel;dnb-appr:wv:reiheH:sg793;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Spiel
2898;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Sport;dnb-appr:wv:reiheH:sg796;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Sport
2899;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Literatur;dnb-appr:wv:reiheH:sg8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Literatur
2900;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Literatur, Rhetorik, Literaturwissenschaft;dnb-appr:wv:reiheH:sg800;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Literatur, Rhetorik, Literaturwissenschaft
2901;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Englische Literatur Amerikas;dnb-appr:wv:reiheH:sg810;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Englische Literatur Amerikas
2902;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Englische Literatur;dnb-appr:wv:reiheH:sg820;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Englische Literatur
2903;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Deutsche Literatur;dnb-appr:wv:reiheH:sg830;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Deutsche Literatur
2904;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Literatur in anderen germanischen Sprachen;dnb-appr:wv:reiheH:sg839;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Literatur in anderen germanischen Sprachen
2905;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Franzîsische Literatur;dnb-appr:wv:reiheH:sg840;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Franzîsische Literatur
2906;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Italienische, rumÑnische, rÑtoromanische Literatur;dnb-appr:wv:reiheH:sg850;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Italienische, rumÑnische, rÑtoromanische Literatur
2907;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Spanische und portugiesische Literatur;dnb-appr:wv:reiheH:sg860;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Spanische und portugiesische Literatur
2908;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Lateinische Literatur;dnb-appr:wv:reiheH:sg870;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Lateinische Literatur
2909;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Griechische Literatur;dnb-appr:wv:reiheH:sg880;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Griechische Literatur
2910;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Literatur in anderen Sprachen;dnb-appr:wv:reiheH:sg890;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Literatur in anderen Sprachen
2911;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Slawische Literatur;dnb-appr:wv:reiheH:sg891.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Slawische Literatur
2912;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte und Geografie;dnb-appr:wv:reiheH:sg9;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte und Geografie
2913;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte;dnb-appr:wv:reiheH:sg900;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte
2914;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geografie, Reisen;dnb-appr:wv:reiheH:sg910;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geografie, Reisen
2915;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geografie, Reisen (Deutschland);dnb-appr:wv:reiheH:sg914.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geografie, Reisen (Deutschland)
2916;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Biografie, Genealogie, Heraldik;dnb-appr:wv:reiheH:sg920;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Biografie, Genealogie, Heraldik
2917;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Alte Geschichte, ArchÑologie;dnb-appr:wv:reiheH:sg930;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Alte Geschichte, ArchÑologie
2918;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte Europas;dnb-appr:wv:reiheH:sg940;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte Europas
2919;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte Deutschlands;dnb-appr:wv:reiheH:sg943;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte Deutschlands
2920;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte Asiens;dnb-appr:wv:reiheH:sg950;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte Asiens
2921;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte Afrikas;dnb-appr:wv:reiheH:sg960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte Afrikas
2922;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte Nordamerikas;dnb-appr:wv:reiheH:sg970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte Nordamerikas
2923;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte SÅdamerikas;dnb-appr:wv:reiheH:sg980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte SÅdamerikas
2924;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Geschichte der Åbrigen Welt;dnb-appr:wv:reiheH:sg990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Geschichte der Åbrigen Welt
2925;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Belletristik;dnb-appr:wv:reiheH:sgB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Belletristik
2926;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Kinder- und Jugendliteratur;dnb-appr:wv:reiheH:sgK;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Kinder- und Jugendliteratur
2927;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - SchulbÅcher;dnb-appr:wv:reiheH:sgS;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;SchulbÅcher
2928;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Abgeschlossene Verîffentlichungen;dnb-appr:wv:reiheH:sgY;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Abgeschlossene Verîffentlichungen
2929;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - Berichtigungen;dnb-appr:wv:reiheH:sgZ;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;Berichtigungen
2930;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften - BestandssÑtze;dnb-appr:wv:reiheH:holdings;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Hochschulschriften;BestandssÑtze
2931;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musikalien;dnb-appr:wv:reiheM;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musikalien;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musikalien
2932;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;dnb-appr:wv:reiheO;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen
2933;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Allgemeines, Informationswissenschaft;dnb-appr:wv:reiheO:sg0;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Allgemeines, Informationswissenschaft
2934;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Allgemeines, Wissenschaft;dnb-appr:wv:reiheO:sg000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Allgemeines, Wissenschaft
2935;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Informatik;dnb-appr:wv:reiheO:sg004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Informatik
2936;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Bibliografien;dnb-appr:wv:reiheO:sg010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Bibliografien
2937;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Bibliotheks- und Informationswissenschaft;dnb-appr:wv:reiheO:sg020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Bibliotheks- und Informationswissenschaft
2938;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - EnzyklopÑdien;dnb-appr:wv:reiheO:sg030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;EnzyklopÑdien
2939;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Zeitschriften, fortlaufende Sammelwerke;dnb-appr:wv:reiheO:sg050;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Zeitschriften, fortlaufende Sammelwerke
2940;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Organisationen, Museumswissenschaft;dnb-appr:wv:reiheO:sg060;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Organisationen, Museumswissenschaft
2941;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Nachrichtenmedien, Journalismus, Verlagswesen;dnb-appr:wv:reiheO:sg070;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Nachrichtenmedien, Journalismus, Verlagswesen
2942;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Allgemeine Sammelwerke;dnb-appr:wv:reiheO:sg080;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Allgemeine Sammelwerke
2943;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Handschriften, seltene BÅcher;dnb-appr:wv:reiheO:sg090;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Handschriften, seltene BÅcher
2944;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Philosphie und Psychologie;dnb-appr:wv:reiheO:sg1;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Philosphie und Psychologie
2945;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Philosophie;dnb-appr:wv:reiheO:sg100;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Philosophie
2946;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Parapsychologie, Okkultismus;dnb-appr:wv:reiheO:sg130;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Parapsychologie, Okkultismus
2947;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Psychologie;dnb-appr:wv:reiheO:sg150;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Psychologie
2948;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Religion;dnb-appr:wv:reiheO:sg2;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Religion
2949;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Religion, Religionsphilosophie;dnb-appr:wv:reiheO:sg200;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Religion, Religionsphilosophie
2950;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Bibel;dnb-appr:wv:reiheO:sg220;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Bibel
2951;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Theologie, Christentum;dnb-appr:wv:reiheO:sg230;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Theologie, Christentum
2952;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Andere Religionen;dnb-appr:wv:reiheO:sg290;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Andere Religionen
2953;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Sozialwissenschaften;dnb-appr:wv:reiheO:sg3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Sozialwissenschaften
2954;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Sozialwissenschaften, Soziologie;dnb-appr:wv:reiheO:sg300;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Sozialwissenschaften, Soziologie
2955;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Statistik;dnb-appr:wv:reiheO:sg310;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Statistik
2956;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Politik;dnb-appr:wv:reiheO:sg320;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Politik
2957;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Wirtschaft, Management;dnb-appr:wv:reiheO:sg330;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Wirtschaft, Management
2958;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - NatÅrliche Ressourcen, Energie und Umwelt;dnb-appr:wv:reiheO:sg333.7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;NatÅrliche Ressourcen, Energie und Umwelt
2959;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Recht;dnb-appr:wv:reiheO:sg340;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Recht
2960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - ôffentliche Verwaltung;dnb-appr:wv:reiheO:sg350;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;ôffentliche Verwaltung
2961;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - MilitÑr;dnb-appr:wv:reiheO:sg355;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;MilitÑr
2962;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Soziale Probleme, Sozialarbeit;dnb-appr:wv:reiheO:sg360;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Soziale Probleme, Sozialarbeit
2963;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Erziehung, Schul- und Bildungswesen;dnb-appr:wv:reiheO:sg370;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Erziehung, Schul- und Bildungswesen
2964;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Handel, Kommunikation, Verkehr;dnb-appr:wv:reiheO:sg380;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Handel, Kommunikation, Verkehr
2965;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Ethnologie;dnb-appr:wv:reiheO:sg390;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Ethnologie
2966;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Literatur und Sprache;dnb-appr:wv:reiheO:sg4;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Literatur und Sprache
2967;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Sprache, Linguistik;dnb-appr:wv:reiheO:sg400;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Sprache, Linguistik
2968;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Englisch;dnb-appr:wv:reiheO:sg420;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Englisch
2969;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Deutsch;dnb-appr:wv:reiheO:sg430;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Deutsch
2970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Andere germanische Sprachen;dnb-appr:wv:reiheO:sg439;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Andere germanische Sprachen
2971;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Franzîsisch, romanische Sprachen allgemein;dnb-appr:wv:reiheO:sg440;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Franzîsisch, romanische Sprachen allgemein
2972;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Italienisch, RumÑnisch, RÑtoromanisch;dnb-appr:wv:reiheO:sg450;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Italienisch, RumÑnisch, RÑtoromanisch
2973;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Spanisch, Portugiesisch;dnb-appr:wv:reiheO:sg460;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Spanisch, Portugiesisch
2974;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Latein;dnb-appr:wv:reiheO:sg470;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Latein
2975;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Griechisch;dnb-appr:wv:reiheO:sg480;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Griechisch
2976;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Andere Sprachen;dnb-appr:wv:reiheO:sg490;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Andere Sprachen
2977;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Slawische Sprachen;dnb-appr:wv:reiheO:sg491.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Slawische Sprachen
2978;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Naturwissenschaften und Mathematik;dnb-appr:wv:reiheO:sg5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Naturwissenschaften und Mathematik
2979;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Naturwissenschaften;dnb-appr:wv:reiheO:sg500;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Naturwissenschaften
2980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Mathematik;dnb-appr:wv:reiheO:sg510;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Mathematik
2981;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Astronomie, Kartographie;dnb-appr:wv:reiheO:sg520;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Astronomie, Kartographie
2982;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Physik;dnb-appr:wv:reiheO:sg530;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Physik
2983;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Chemie;dnb-appr:wv:reiheO:sg540;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Chemie
2984;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geowissenschaften;dnb-appr:wv:reiheO:sg550;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geowissenschaften
2985;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - PalÑontologie;dnb-appr:wv:reiheO:sg560;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;PalÑontologie
2986;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Biowissenschaften, Biologie;dnb-appr:wv:reiheO:sg570;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Biowissenschaften, Biologie
2987;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Pflanzen (Botanik);dnb-appr:wv:reiheO:sg580;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Pflanzen (Botanik)
2988;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Tiere (Zoologie);dnb-appr:wv:reiheO:sg590;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Tiere (Zoologie)
2989;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Technik, Medizin, angewandte Wissenschaften;dnb-appr:wv:reiheO:sg6;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Technik, Medizin, angewandte Wissenschaften
